"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
5.27,0.0098,12.31,175.13,5.218,5.32,12.1,10.13,53.025,0.063,27.68
5.159,0.0454,25.97,163.84,4.925,5.39,11.7,10.13,49.528,0.079,9.696
5.253,0.0924,9.34,283.61,4.768,5.74,12,10.25,50.870,0.068,40.09
5.201,0.0916,12.02,90.02,4.725,5.68,11.9,10.11,57.647,0.058,12.372
5.131,0.0433,7.70,168.21,4.908,5.35,11.6,10.58,42.770,0.067,18.995
5.164,0.0411,14.90,129.59,4.952,5.38,11.7,10.48,45.954,0.063,12.873
5.178,0.0495,8.59,118.99,4.921,5.43,11.8,11.25,32.220,0.068,
5.263,0.1414,19.06,209.67,4.519,6.01,12.1,10.08,52.058,0.071,5.319
5.231,0.0930,34.73,281.26,4.744,5.72,12,9.07,80.165,0.076,14.25
5.207,0.1378,28.46,352.58,4.490,5.93,11.9,9.26,72.331,0.085,18.192
5.197,0.2520,19.57,355.22,3.887,6.51,11.8,10.70,30.175,0.112,
5.214,0.1086,19.40,33.91,4.647,5.78,11.9,9.62,63.277,0.070,9.818
5.17,0.0193,27.16,280.60,5.070,5.27,11.8,9.94,57.251,0.071,11.235
5.203,0.0438,9.08,270.91,4.975,5.43,11.9,9.95,51.263,0.081,738
5.321,0.0490,21.86,206.38,5.060,5.58,12.3,10.25,48.209,0.069,22.731
5.264,0.0865,4.99,335.12,4.808,5.72,12.1,10.69,36.960,0.082,46
5.164,0.0529,11.79,87.31,4.891,5.44,11.7,10.49,27.850,0.173,5.402
5.193,0.0763,11.03,74.16,4.797,5.59,11.8,10.47,39.843,0.084,250
5.302,0.0668,31.45,345.17,4.948,5.66,12.2,9.81,59.786,0.071,11.376
5.26,0.1315,21.48,11.90,4.568,5.95,12.1,10.30,50.770,0.057,24.937
5.195,0.0352,10.58,103.89,5.012,5.38,11.8,10.86,41.899,0.058,6.52
5.199,0.1099,15.95,16.79,4.628,5.77,11.9,10.35,49.251,0.061,12.807
5.267,0.1122,25.01,24.11,4.676,5.86,12.1,10.33,47.987,0.122,15.21
5.228,0.1031,8.53,32.22,4.689,5.77,12,10.19,35.387,0.129,9.883
5.245,0.0260,29.86,350.49,5.109,5.38,12,10.64,51.922,0.050,53.02
5.198,0.0121,15.75,105.70,5.136,5.26,11.9,9.92,60.711,0.069,14.768
5.186,0.2732,8.92,331.79,3.769,6.60,11.8,9.12,80.958,0.074,5.958
20.33,0.5705,24.63,354.71,8.733,31.93,91.7,7.10,190,0.044,9.98
5.203,0.0513,9.04,104.51,4.937,5.47,11.9,10.40,48.197,0.069,
5.149,0.0449,3.38,47.10,4.918,5.38,11.7,11.54,29.035,0.058,5.33
5.18,0.0289,6.15,128.38,5.031,5.33,11.8,10.64,36.689,0.091,9.766
5.226,0.1228,24.19,344.09,4.584,5.87,11.9,9.29,76.147,0.070,28.72
5.16,0.0321,2.87,89.92,4.994,5.33,11.7,11.94,,,
5.166,0.0781,5.92,230.09,4.763,5.57,11.7,10.37,53.275,0.052,19.85
5.21,0.0722,15.91,201.31,4.833,5.59,11.9,10.45,44.741,0.073,18.42
5.209,0.1120,33.57,359.15,4.626,5.79,11.9,9.50,68.472,0.072,9.525
5.196,0.1505,17.48,356.78,4.414,5.98,11.8,9.81,48.356,0.100,7.323
5.226,0.0845,20.22,343.25,4.784,5.67,11.9,10.22,50.159,0.070,10.31
5.186,0.0509,25.15,257.04,4.922,5.45,11.8,10.20,49.606,0.079,12.04
11.86,0.8658,61.61,191.17,1.591,22.13,40.8,13.30,,,
5.203,0.0781,7.43,220.73,4.796,5.61,11.9,10.58,37.696,0.086,38.41
5.112,0.0749,13.70,95.66,4.729,5.49,11.6,10.71,35.096,0.099,5.78
5.247,0.1182,11.17,121.59,4.627,5.87,12,10.37,39.773,0.093,336
5.168,0.1196,22.42,331.13,4.549,5.79,11.7,11.56,28.168,0.056,
5.238,0.1068,10.91,92.87,4.679,5.80,12,10.57,41.455,0.071,19.4
5.144,0.1669,22.70,269.02,4.286,6.00,11.7,9.86,59.295,0.073,37.56
5.212,0.0772,1.90,108.82,4.809,5.61,11.9,10.26,53.921,0.061,8.374
5.146,0.0986,1.92,141.99,4.639,5.65,11.7,11.15,31.248,0.072,
5.226,0.0921,15.55,158.64,4.745,5.71,11.9,10.70,40.408,0.075,12.918
5.3,0.0583,20.20,74.59,4.991,5.61,12.2,9.59,59.568,0.087,18.476
5.24,0.1266,9.50,199.60,4.576,5.90,12,12.11,,,
5.158,0.0522,11.98,147.91,4.889,5.43,11.7,10.28,50.951,0.068,16.26
5.176,0.1022,19.12,58.65,4.648,5.71,11.8,10.62,37.549,0.087,
5.178,0.0714,1.73,259.42,4.808,5.55,11.8,11.48,27.828,0.049,
24.66,0.5157,15.63,170.96,11.945,37.38,122,9.60,,,
5.13,0.1040,19.34,123.35,4.596,5.66,11.6,9.85,59.150,0.067,400
5.154,0.0648,3.71,306.93,4.820,5.49,11.7,10.40,39.770,0.093,9.73
5.192,0.0352,13.45,215.92,5.009,5.37,11.8,11.86,19.996,0.111,
5.127,0.0376,8.18,128.11,4.934,5.32,11.6,10.03,47.731,0.093,648
5.2,0.0646,14.06,207.16,4.865,5.54,11.9,10.71,42.893,0.055,17.8
5.216,0.0541,34.69,227.43,4.934,5.50,11.9,9.56,71.839,0.065,27.77
5.267,0.0600,20.37,218.66,4.951,5.58,12.1,10.34,42.516,0.089,
5.203,0.0931,7.08,33.58,4.719,5.69,11.9,10.99,37.873,0.059,6.47686
5.196,0.0485,13.11,57.77,4.944,5.45,11.8,10.96,27.088,0.126,
5.157,0.0429,4.34,265.91,4.936,5.38,11.7,11.39,27.174,0.087,17.89
5.309,0.0464,0.95,116.06,5.063,5.56,12.2,11.26,26.210,0.076,
18.04,0.6211,17.61,290.64,6.834,29.24,76.6,9.10,66,0.13,8.9351
5.217,0.0655,23.93,159.45,4.875,5.56,11.9,10.27,49.151,0.073,30.66
5.312,0.0159,4.22,13.28,5.228,5.40,12.2,11.17,32.186,0.062,6.3
5.161,0.1309,12.81,173.75,4.485,5.84,11.7,10.71,42.306,0.062,7.325
5.261,0.0545,1.00,311.61,4.974,5.55,12.1,11.37,27.532,0.077,26.264
5.116,0.0866,21.34,185.63,4.673,5.56,11.6,10.72,38.358,0.076,
5.103,0.0394,6.66,191.79,4.903,5.30,11.5,12.12,,,
5.082,0.0380,4.95,59.26,4.889,5.27,11.5,10.84,31.736,0.101,18.2
5.228,0.1283,8.47,274.42,4.557,5.90,12,11.05,33.423,0.083,19.41
5.172,0.0552,4.16,313.31,4.887,5.46,11.8,11.42,18.651,0.168,22
5.242,0.0559,5.92,152.58,4.949,5.54,12,11.07,32.771,0.079,8.01
5.19,0.0486,30.52,115.41,4.938,5.44,11.8,9.70,68.033,0.060,21.52
5.206,0.1549,4.97,197.40,4.400,6.01,11.9,11.51,24.683,0.088,346.
5.255,0.0427,9.17,81.79,5.031,5.48,12,11.60,22.879,0.102,
5.197,0.0047,7.50,102.14,5.173,5.22,11.8,11.14,28.076,0.089,
5.188,0.0852,3.21,19.66,4.746,5.63,11.8,12.10,20.272,0.082,
5.161,0.0262,19.61,6.77,5.025,5.30,11.7,10.37,49.518,0.060,
5.273,0.0685,8.16,264.53,4.912,5.63,12.1,11.70,,,
15.82,0.1677,23.36,242.87,13.170,18.48,62.9,6.58,302,0.045,7.004
5.278,0.0072,4.19,325.68,5.240,5.32,12.1,11.29,26.826,0.098,34.26
25.12,0.2439,4.14,6.88,18.993,31.24,126,8.60,,,
5.196,0.0311,8.57,231.89,5.035,5.36,11.8,11.48,30.963,0.067,
5.172,0.0877,10.58,206.89,4.719,5.63,11.8,11.39,23.564,0.115,26.101
5.181,0.0204,6.93,18.42,5.075,5.29,11.8,10.75,37.047,0.074,7.72
5.168,0.0009,4.20,148.79,5.164,5.17,11.7,12.19,22.012,0.058,10.448
5.14,0.0315,5.86,327.70,4.978,5.30,11.7,10.74,41.093,0.060,9.15
5.192,0.0946,1.42,56.71,4.701,5.68,11.8,11.65,,,
5.194,0.0909,25.16,217.41,4.722,5.67,11.8,11.69,25.570,0.082,
5.298,0.0654,11.55,160.41,4.952,5.64,12.2,10.92,34.155,0.079,445.683
5.214,0.0677,24.13,119.53,4.862,5.57,11.9,9.93,68.977,0.045,17.383
5.215,0.0650,12.58,177.77,4.876,5.55,11.9,10.71,37.109,0.074,
5.261,0.0630,20.99,151.29,4.930,5.59,12.1,10.26,45.431,0.078,12.7
5.33,0.0144,17.30,57.52,5.254,5.41,12.3,11.23,32.354,0.067,
5.236,0.0313,17.11,91.39,5.072,5.40,12,10.54,37.630,0.086,50.16
5.149,0.0485,3.53,6.46,4.899,5.40,11.7,11.29,32.139,0.062,
