"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
3.234,0.0800,16.96,190.77,2.975,3.49,5.81,10.81,39.131,0.061,15.673
3.416,0.0701,1.15,12.48,3.176,3.66,6.31,10.91,35.178,0.091,7.01
3.23,0.0788,21.44,105.71,2.975,3.48,5.8,10.64,33.765,0.127,34.3
3.224,0.0983,4.12,0.16,2.907,3.54,5.79,10.13,61.817,0.044,8.277
3.214,0.0436,13.95,337.04,3.074,3.35,5.76,9.91,70.954,0.056,15.61
3.764,0.0834,9.81,217.29,3.450,4.08,7.3,10.00,56.337,0.061,648.
3.393,0.0709,4.53,205.02,3.152,3.63,6.25,10.53,55.715,0.036,18.1154
3.925,0.1056,1.87,206.78,3.511,4.34,7.78,9.63,40.379,0.169,6.516
3.219,0.0425,9.02,200.73,3.082,3.36,5.78,10.71,32.429,0.147,9.365
3.416,0.0684,5.75,72.72,3.183,3.65,6.31,9.83,63.12,0.0509,34.818
3.216,0.0696,16.30,101.96,2.992,3.44,5.77,10.05,24.266,0.249,6.0136
3.35,0.0337,15.01,253.35,3.237,3.46,6.13,9.41,91.98,0.0398,30.51
3.987,0.1555,7.19,205.85,3.367,4.61,7.96,9.32,97,0.058,14.849
3.999,0.1676,3.33,307.54,3.329,4.67,8,10.13,54.93,0.0337,9.558
3.948,0.1898,7.59,348.16,3.198,4.70,7.84,9.63,76.387,0.046,32.78
3.217,0.1924,16.50,303.21,2.598,3.84,5.77,10.83,46.269,0.071,12.363
3.225,0.1664,1.04,166.68,2.688,3.76,5.79,11.45,27.795,0.069,7.035
3.896,0.0795,4.17,101.60,3.586,4.21,7.69,9.79,68.245,0.052,52.
3.356,0.0509,17.19,299.80,3.186,3.53,6.15,9.46,75.470,0.053,15.605
3.98,0.1028,4.43,118.59,3.571,4.39,7.94,9.11,96.710,0.043,17.572
3.9,0.0984,2.76,19.46,3.516,4.28,7.7,8.78,104.893,0.048,17.36
3.428,0.0473,6.43,92.79,3.265,3.59,6.35,10.19,50.83,0.0505,12.6
3.39,0.1240,2.89,274.88,2.970,3.81,6.24,10.75,47.407,0.046,14.64
3.228,0.1035,19.49,100.77,2.894,3.56,5.8,9.53,81.685,0.024,8.3281
3.206,0.1492,10.28,244.50,2.727,3.68,5.74,10.44,57.570,0.043,13.88
3.209,0.0746,7.08,21.45,2.969,3.45,5.75,10.12,64.863,0.040,9.578
3.204,0.2352,20.41,33.99,2.451,3.96,5.74,9.94,17.919,0.275,7.048
3.237,0.1478,18.78,137.76,2.759,3.72,5.83,9.98,78.295,0.018,19.5
3.501,0.1352,5.77,174.01,3.028,3.97,6.55,10.15,53.697,0.046,17.1243
3.982,0.1812,11.40,332.83,3.261,4.70,7.95,9.93,72.976,0.043,11.42
3.213,0.3728,24.23,261.72,2.015,4.41,5.76,11.28,26.936,0.082,6.907
3.206,0.1208,16.45,103.13,2.819,3.59,5.74,11.87,27.155,0.057,8.94581
3.418,0.3151,38.94,99.03,2.341,4.50,6.32,11.54,19.448,0.155,5.2834
3.437,0.0362,19.93,332.66,3.312,3.56,6.37,9.18,95.849,0.033,17.1
3.995,0.1163,4.20,101.38,3.530,4.46,7.98,10.71,50.561,0.046,12.898
3.205,0.2211,10.44,65.33,2.496,3.91,5.74,11.11,37.815,0.052,19.035
3.387,0.1279,21.91,350.39,2.953,3.82,6.23,8.72,89.160,0.083,9.76
3.207,0.2659,15.81,105.12,2.354,4.06,5.74,11.48,25.851,0.032,7.8
3.25,0.1288,3.65,158.42,2.832,3.67,5.86,11.47,21.941,0.048,15.315
3.96,0.1427,6.47,237.85,3.395,4.53,7.88,9.56,79.872,0.039,132.3
3.986,0.2014,9.06,294.69,3.183,4.79,7.96,10.02,56.319,0.054,14.32
3.435,0.1085,15.71,267.12,3.062,3.81,6.37,10.54,28.65,0.1297,10
3.221,0.0280,10.51,301.06,3.131,3.31,5.78,10.34,54.977,0.049,6.252
3.211,0.0823,17.28,110.41,2.947,3.48,5.75,9.81,69.242,0.059,16.3744
3.542,0.0342,14.47,260.16,3.421,3.66,6.67,9.94,57.785,0.042,12.64
3.928,0.2408,0.81,1.72,2.982,4.87,7.78,10.21,47.077,0.063,17.885
3.435,0.1260,8.76,279.48,3.003,3.87,6.37,10.70,46.925,0.043,21.33
3.206,0.1239,2.67,68.37,2.809,3.60,5.74,10.73,37.428,0.080,6.5911
3.954,0.2089,8.37,47.73,3.128,4.78,7.86,9.97,62.524,0.048,19.724
3.948,0.2165,3.30,198.53,3.094,4.80,7.85,10.60,44.908,0.048,6.003
3.942,0.1695,12.16,110.09,3.274,4.61,7.83,9.78,79.52,0.0345,7.7416
3.354,0.0556,22.59,26.43,3.168,3.54,6.14,9.93,68.167,0.044,22.226
3.216,0.0989,14.95,80.70,2.898,3.53,5.77,11.31,29.351,0.068,13.64
3.215,0.0142,21.97,47.72,3.169,3.26,5.77,10.85,40.054,0.057,16.162
3.415,0.1103,2.61,124.21,3.039,3.79,6.31,10.97,40.240,0.052,7.53
3.212,0.0979,7.70,245.20,2.898,3.53,5.76,10.84,44.634,0.053,11.114
3.945,0.2055,17.54,305.93,3.134,4.76,7.84,10.99,35.642,0.073,13.18
3.209,0.1385,9.88,15.80,2.765,3.65,5.75,11.85,25.68,0.1283,
3.207,0.1402,1.81,56.52,2.757,3.66,5.74,12.26,19.989,0.059,38.18
3.245,0.0733,24.07,148.97,3.007,3.48,5.85,11.63,28.096,0.074,
3.976,0.2220,12.47,266.97,3.093,4.86,7.93,9.43,83.430,0.040,20.977
3.973,0.1720,1.65,181.47,3.290,4.66,7.92,10.06,67.476,0.035,11.915
3.307,0.3846,19.09,20.32,2.035,4.58,6.01,14.70,,,
3.234,0.4818,35.44,31.44,1.676,4.79,5.81,12.35,20.561,0.055,18.64
3.956,0.2897,3.96,302.93,2.810,5.10,7.87,11.91,17.120,0.152,48.523
3.217,0.0965,20.66,201.76,2.907,3.53,5.77,10.35,52.023,0.070,11.2692
3.97,0.1828,3.08,297.02,3.244,4.70,7.91,10.62,46.003,0.054,17.677
3.212,0.0319,13.09,187.96,3.110,3.31,5.76,11.19,37.736,0.048,7.854
3.212,0.1014,15.01,278.06,2.886,3.54,5.76,11.11,40.549,0.051,12.141
3.436,0.0568,10.32,305.07,3.241,3.63,6.37,10.28,57.384,0.043,9.0706
3.494,0.0308,5.40,3.34,3.386,3.60,6.53,10.77,40.850,0.044,8.405
3.207,0.2156,18.78,274.28,2.516,3.90,5.74,10.73,41.688,0.050,32.1
3.95,0.0922,6.50,21.95,3.586,4.31,7.85,10.46,48.424,0.045,4.992
3.397,0.1817,13.25,205.34,2.780,4.01,6.26,10.79,46.94,0.0384,37.7
3.645,0.0437,6.62,185.47,3.486,3.80,6.96,10.42,53.14,0.0388,18.6
3.966,0.1584,5.16,342.22,3.338,4.59,7.9,10.23,50.122,0.060,50.78
3.22,0.1368,0.37,216.66,2.779,3.66,5.78,12.09,21.925,0.051,
3.236,0.0394,15.60,355.68,3.109,3.36,5.82,10.96,43.072,0.048,38.3
3.201,0.1186,3.84,300.96,2.821,3.58,5.73,11.03,41.583,0.045,
3.227,0.1926,10.29,114.17,2.605,3.85,5.8,10.80,48.406,0.050,7.934
3.237,0.0432,10.20,283.15,3.097,3.38,5.82,10.89,39.505,0.064,6.4058
3.966,0.2770,4.50,183.10,2.868,5.06,7.9,10.96,35.688,0.067,14.733
3.241,0.1921,2.75,355.58,2.618,3.86,5.83,13.01,13.619,0.061,
3.95,0.1180,2.80,138.99,3.484,4.42,7.85,11.00,,,12.41
3.458,0.0489,6.42,332.63,3.289,3.63,6.43,10.73,33.726,0.107,16.284
3.227,0.1892,2.24,307.05,2.616,3.84,5.8,12.14,21.225,0.075,
3.212,0.1527,2.28,179.65,2.721,3.70,5.76,12.57,15.119,0.077,4.094
3.558,0.0794,3.58,130.90,3.275,3.84,6.71,10.68,51.54,0.0553,16.587
3.41,0.0999,1.62,324.46,3.069,3.75,6.3,11.82,24.927,0.065,9.15
3.241,0.1689,2.23,283.93,2.694,3.79,5.84,12.41,17.747,0.057,
3.207,0.1405,1.68,111.76,2.756,3.66,5.74,12.44,19.361,0.068,9.23
3.991,0.1193,13.48,150.48,3.515,4.47,7.97,10.19,57.90,0.0508,13
3.222,0.0491,15.45,146.89,3.064,3.38,5.78,11.20,39.975,0.023,24
3.221,0.0727,11.43,71.92,2.987,3.46,5.78,11.55,27.994,0.072,18.894
3.207,0.1905,0.91,51.07,2.596,3.82,5.74,11.83,25.793,0.048,40.114
3.355,0.1382,9.30,251.30,2.891,3.82,6.14,11.15,35.066,0.061,240.394
3.25,0.1552,1.49,198.06,2.745,3.75,5.86,13.60,10.538,0.083,4.778
3.633,0.1052,2.30,195.23,3.251,4.02,6.93,11.78,29.283,0.061,
3.956,0.2722,5.23,284.75,2.879,5.03,7.87,11.21,32.783,0.054,4.359
3.34,0.1457,9.83,188.05,2.853,3.83,6.1,10.99,46.184,0.044,17.41
3.229,0.1654,2.04,173.34,2.695,3.76,5.8,12.93,14.469,0.111,3.562
3.225,0.0709,18.19,91.53,2.996,3.45,5.79,11.12,21.061,0.174,3.9122
3.384,0.1751,17.41,301.13,2.792,3.98,6.23,11.26,24.517,0.107,4.625
3.209,0.2372,16.62,97.94,2.448,3.97,5.75,12.10,24.426,0.062,12.0934
3.415,0.1309,14.84,341.65,2.968,3.86,6.31,10.97,37.189,0.067,11.746
3.201,0.0857,21.01,113.15,2.927,3.48,5.73,10.48,45.830,0.080,13.06
3.208,0.1007,22.89,320.01,2.885,3.53,5.75,10.55,43.101,0.102,9.61
3.208,0.0872,2.21,52.73,2.928,3.49,5.75,12.17,19.913,0.085,
3.537,0.1145,10.83,9.24,3.132,3.94,6.65,11.45,30.346,0.076,38.9367
3.494,0.0797,2.97,116.73,3.216,3.77,6.53,11.57,30.178,0.059,11.92
