"diameter","rot_per","epoch.mjd","a","e","i","om","w","ma","H","albedo"
,3.497,59600,1.061,0.1291,15.09,215.40,61.08,124.55,19.43,
,4.44,59600,1.93,0.5714,8.91,223.91,240.87,314.50,20.40,
,,59600,44.44,0.0882,3.46,52.06,178.67,143.23,6.47,
,11.78,59600,46.13,0.1025,2.02,81.96,238.16,54.01,6.76,
,,59600,43.98,0.0795,4.17,29.01,277.78,70.48,6.20,
,,59600,45.81,0.1139,2.70,38.28,28.99,100.85,6.71,
,,59600,42.42,0.0354,1.16,334.24,347.01,119.59,5.70,
,,59600,43.62,0.1300,3.65,343.21,297.76,98.54,6.70,
,,59600,52.31,0.3371,38.89,103.73,47.37,9.77,5.72,
,3.643,59600,1.837,0.4501,41.10,324.38,215.07,197.97,19.60,
,,59600,43.89,0.0493,1.33,201.47,253.30,329.72,6.04,
0.279,3.277,59600,1.876,0.4840,12.65,3.73,188.63,233.12,19.00,0.569
,,59600,45.37,0.1832,13.68,327.15,70.10,7.21,7.40,
,,59600,44.26,0.0680,2.11,8.17,30.44,7.18,6.67,
,,59600,42.75,0.0350,1.23,179.81,84.32,223.82,5.81,
,,59600,43.74,0.0915,4.99,80.47,188.73,217.24,5.66,
,,59600,45.5,0.0671,3.41,93.94,152.67,329.75,6.19,
,,59600,43.88,0.1901,13.35,101.56,320.12,358.87,6.67,
,,59600,58.54,0.4003,33.27,186.94,139.54,215.57,3.16,
,2.6346,59600,2.137,0.4592,33.96,41.32,168.86,201.02,17.94,
,,59600,39.26,0.2757,9.30,339.12,164.05,43.92,7.82,
,,59600,38.33,0.0290,3.99,127.41,277.74,307.08,7.05,
,3.0697,59600,1.683,0.6443,10.89,162.83,88.69,124.43,19.76,
,,59600,42.9,0.0849,7.17,255.44,79.43,121.13,6.19,
,,59600,43.58,0.0322,0.53,56.53,49.55,41.39,7.11,
,,59600,48.19,0.2222,3.67,223.31,100.21,39.46,6.63,
,,59600,44.82,0.0147,1.74,110.50,227.40,114.01,6.14,
,12,59600,46.66,0.1304,30.49,334.65,4.50,21.71,6.67,
,,59600,44.33,0.0552,3.96,76.49,343.25,315.21,6.59,
,,59600,43.54,0.0333,2.11,36.33,233.70,316.28,6.48,
,,59600,42.63,0.0063,3.06,35.89,336.47,64.81,7.45,
,,59600,43.97,0.0409,3.77,84.05,307.98,78.06,6.37,
,5.5,59600,46.45,0.1564,4.87,126.48,324.49,35.44,6.93,
,,59600,0.7434,0.3335,22.22,282.68,340.12,217.06,20.62,
,30,59600,1.491,0.3253,2.31,172.03,65.30,74.31,21.40,
,,59600,38.99,0.0414,1.52,183.65,159.28,91.08,7.40,
,,59600,44.67,0.0880,6.80,237.08,53.65,141.30,6.70,
,,59600,42.91,0.0547,2.57,138.00,208.67,3.08,7.79,
,,59600,43.87,0.0702,3.56,75.54,66.62,41.24,7.09,
,,59600,44.36,0.0193,4.80,124.64,93.04,111.25,7.90,
0.84,2.7,59600,1.832,0.4451,16.23,319.61,180.56,12.95,20.10,0.023
,,59600,1.954,0.4660,24.53,76.97,174.18,66.62,21.00,
,,59600,45.81,0.1203,19.54,257.51,111.38,67.56,6.80,
,,59600,45.34,0.0687,0.85,84.61,245.04,67.76,6.60,
,6.8,59600,43.1,0.0445,3.76,104.10,36.98,206.91,6.47,
,,59600,1.931,0.5716,5.49,198.18,234.89,278.46,21.80,
,,59600,44.34,0.0876,0.95,36.98,10.03,42.91,7.51,
,,59600,43.35,0.0230,3.73,86.57,140.87,268.70,6.92,
,7,59600,46,0.0331,1.30,159.24,226.23,225.56,5.70,
,,59600,43.87,0.0796,1.95,68.99,184.65,341.34,6.90,
,,59600,39.65,0.2229,17.17,44.03,285.93,308.95,7.40,
,,59600,44.42,0.0481,1.17,292.61,261.09,52.27,6.40,
,2,59600,45.2,0.0767,3.57,109.72,332.71,232.56,5.95,
,,59600,45.46,0.1125,20.15,147.33,270.13,316.52,6.50,
,,59600,46.55,0.1595,4.31,329.21,316.79,35.85,6.50,
,,59600,43.97,0.0521,1.86,81.43,73.56,173.87,6.35,
,,59600,44.62,0.0936,3.74,120.03,76.68,128.12,6.50,
,,59600,43.8,0.0732,2.10,58.86,123.90,329.42,6.60,
,,59600,42.45,0.0411,3.09,103.87,41.13,11.44,7.40,
,,59600,42.78,0.0257,0.71,354.40,342.49,194.46,7.30,
,,59600,41.24,0.1806,12.10,221.88,179.31,36.68,7.28,
,,59600,43.54,0.0349,1.16,15.01,97.83,31.17,6.74,
,,59600,45.47,0.0331,1.79,40.82,57.37,52.46,6.57,
,,59600,45.06,0.0620,0.32,144.50,96.41,13.31,6.60,
,,59600,62.91,0.3802,27.68,95.21,289.41,22.08,6.80,
,,59600,43.74,0.0854,1.39,26.31,219.83,282.80,6.70,
,2.5845,59600,2.206,0.5752,5.46,137.00,134.17,158.55,19.20,
,3.6243,59600,2.283,0.4641,3.42,196.88,194.10,129.39,19.40,
0.653,2.8849,59600,2.261,0.5679,12.21,182.70,325.85,118.16,19.30,0.079
,,59600,44.02,0.1033,1.30,223.46,156.46,346.87,5.89,
0.297,3.361,59600,2.211,0.6399,20.91,244.78,245.26,47.93,20.50,0.126
,,59600,43.97,0.1209,12.18,26.56,350.92,309.57,7.00,
,,59600,44.75,0.0899,0.95,330.14,347.00,48.70,6.77,
,,59600,44.13,0.0780,2.17,201.65,116.54,52.70,7.65,
,,59600,45.77,0.0952,3.48,232.55,48.91,82.26,7.30,
,,59600,1.985,0.7594,1.65,25.42,104.43,68.15,22.60,
,,59600,42.81,0.0434,1.95,96.74,207.19,107.52,8.10,
,,59600,44.06,0.0544,2.43,183.57,100.17,128.39,6.10,
0.215,16.897,59600,1.321,0.3551,5.59,90.01,318.53,29.07,21.08,0.138
,3.446,59600,2.428,0.6258,2.05,292.22,123.03,40.34,20.10,
,20.6,59600,2.82,0.7092,6.22,103.94,110.75,280.70,19.20,
,3.16,59600,1.017,0.0122,29.44,194.55,126.82,129.33,21.90,
,2.3498,59600,2.132,0.7169,6.87,51.57,76.62,355.71,20.40,
,2.3582,59600,1.881,0.3751,1.83,284.05,228.85,268.16,21.20,
,2.8,59600,1.6,0.5271,40.07,132.91,70.45,326.66,20.63,
