"diameter","rot_per","epoch.mjd","a","e","i","om","w","ma","H","albedo"
4.662,6.503,59600,1.892,0.0671,24.90,96.36,32.88,6.17,12.74,0.960
5.038,2.5041,59600,1.817,0.0531,21.13,29.77,218.48,359.91,13.78,0.408
6.637,2.5621,59600,2.316,0.0913,8.08,335.88,92.46,45.44,13.68,0.175
5.062,2.59457,59600,2.252,0.1147,3.39,342.82,259.71,17.61,13.34,0.274
7.745,3.916,59600,2.393,0.1881,4.51,336.57,74.62,247.02,12.69,0.204
9.071,2.6742,59600,2.372,0.1342,9.67,55.65,158.72,42.85,12.45,0.283
63.885,8.711,59600,5.202,0.0903,8.06,43.55,27.20,354.54,9.85,0.052
6.655,2.60655,59600,2.313,0.1318,5.79,237.25,102.18,138.21,12.82,0.543
6.243,2.7353,59600,2.214,0.0699,4.82,90.89,35.59,259.64,13.29,0.238
1.5,2.7053,59600,2.199,0.5413,13.53,82.08,204.29,189.37,16.49,0.16
6.412,2.6879,59600,2.345,0.1834,7.09,13.27,45.04,359.37,13.02,0.247
4.663,2.80483,59600,2.237,0.1096,5.38,295.69,174.49,4.80,13.45,0.355
5.924,3.84,59600,2.416,0.0935,5.25,271.34,333.73,255.76,12.81,0.418
5.161,2.9274,59600,2.293,0.2193,23.67,63.20,51.18,276.10,13.39,0.289
6.252,3.595,59600,2.274,0.1594,5.22,46.01,359.80,45.51,13.24,0.294
7.972,20.016,59600,2.398,0.0792,6.55,214.45,32.41,269.08,13.00,0.088
8.628,2.7709,59600,2.334,0.0984,8.11,171.52,185.71,76.05,12.66,0.218
5.021,2.4782,59600,1.892,0.1342,23.35,250.03,267.62,26.66,12.95,0.419
8.021,50.8,59600,2.561,0.2545,14.21,343.14,91.24,344.74,12.73,0.228
6.720,3.39423,59600,2.34,0.1730,5.41,270.01,152.27,75.02,12.98,0.325
6.790,8.488,59600,2.259,0.2193,5.30,251.88,51.09,334.75,12.95,0.201
7.433,3.5746,59600,2.526,0.1310,5.44,214.75,16.37,321.03,12.90,0.265
,16.091,59600,2.632,0.2503,4.02,253.81,108.73,100.31,13.32,
7.675,2.8087,59600,2.368,0.2493,9.27,184.38,184.01,267.10,12.91,0.119
12.296,3.18,59600,2.628,0.1768,14.03,44.56,325.47,212.17,11.76,0.223
,2.80868,59600,2.249,0.1657,6.14,13.03,27.17,193.09,13.32,
5.590,,59600,2.238,0.1011,4.71,34.38,172.03,81.57,13.16,0.391
6.471,3.4069,59600,2.424,0.0643,7.16,88.50,318.37,207.90,13.10,0.320
5.042,2.867,59600,2.317,0.3342,21.94,330.75,110.54,45.75,13.38,0.350
2.093,2.7883,59600,1.921,0.0772,21.35,283.31,225.24,292.46,13.89,1.000
17.359,26.606,59600,2.768,0.1767,8.02,349.72,53.61,58.04,13.10,0.040
,2.89224,59600,2.345,0.1530,7.96,110.36,88.32,326.16,13.92,
6.294,2.82784,59600,2.379,0.0198,4.78,65.93,27.09,16.80,13.06,0.338
7.389,3.9683,59600,2.264,0.0192,2.25,250.43,222.94,325.57,13.35,0.224
6.827,2.95242,59600,2.34,0.2332,24.49,230.20,42.10,337.42,13.02,0.239
4.818,2.5306,59600,1.859,0.0705,19.44,232.91,239.93,58.65,14.01,0.332
1.777,3.6231,59600,1.945,0.0599,23.71,76.54,108.12,98.91,14.10,1.000
3.282,2.9227,59600,2.359,0.1941,7.25,115.75,118.52,104.63,13.42,0.514
3.583,2.81752,59600,2.263,0.1296,4.32,277.17,110.48,130.11,13.95,0.500
1.535,3.1422,59600,1.961,0.0679,22.11,187.49,94.74,10.67,14.90,1.000
5.192,118,59600,2.256,0.1673,7.53,101.03,340.10,184.11,13.43,0.218
5.676,2.8291,59600,2.274,0.1111,7.03,165.93,280.25,248.42,13.32,0.315
3.419,2.7995,59600,2.174,0.1303,5.76,62.68,341.97,223.75,13.99,0.500
